omega_c	mmH1	mmH2	mmH3	mmA0	mmHch	lam1	lam7	m11	aDM	WH1	WH2
1.6208360367526775E-05	1.2509000000000000E+02	1.4135424918242927E+02	7.6516712681165291E+02	7.6924047746660199E+02	1.5085865378652636E+03	1.1722279621484820E+01	1.2761661630804493E+01	5.4350665548979613E+00	-1.2709914882260944E+00	6.4681220749127348E-04	5.1574553665416824E-03
2.7189278361163048E-05	1.2509000000000000E+02	1.4078296911623934E+02	8.5938112037693202E+02	8.6242403219566870E+02	1.0071478820672016E+03	1.9627951731266433E+00	3.2950551165244799E+00	5.4076149408275327E+01	-1.4897396749936804E+00	2.4400485925482845E-04	5.5903381595621424E-03
1.2715516674416602E-05	1.2509000000000000E+02	1.4664391179097532E+02	9.1764796430601177E+02	9.2658712183432056E+02	1.5035572840615907E+03	4.7357066494578994E+00	9.5219892012989096E+00	8.5187204383400825E+01	-6.4677574549563410E-01	3.3914001422691658E-03	2.1293908728399233E-03
1.1410750504974169E-04	1.2509000000000000E+02	1.4847146845501916E+02	2.7428639797693415E+02	2.7911068252246395E+02	5.4229937684363654E+02	2.2505611548901356E+00	7.4749076879466454E+00	3.5939446642501018E+01	-5.3971479952764989E-01	3.8860684768986940E-03	1.5679867906970592E-03
2.2847671676013189E-05	1.2509000000000000E+02	1.4639457380381626E+02	6.3831708346880828E+02	6.4463364531501827E+02	1.1415505302099280E+03	1.2446654199225200E+01	2.3738474953332207E+00	8.8003485898954551E+01	-8.3649476457691996E-01	2.4533145349500047E-03	3.2254133214158630E-03
3.7139236519635648E-05	1.2509000000000000E+02	1.3338528093258631E+02	6.7592340611197210E+02	6.7628839823710189E+02	9.4079645489845257E+02	1.2945206620565246E+01	1.3908632252648767E+01	8.9255315967023051E+01	-1.0625230095629707E+00	1.3939668862063776E-03	4.0665291538964539E-03
7.1259179795576122E-05	1.2509000000000000E+02	1.2962412509734469E+02	4.2830727187837812E+02	4.3045616895912968E+02	6.4817188358780550E+02	1.3359687472721415E+01	7.9999784430023171E+00	7.2176490639884250E+01	-1.3022292708825289E-01	5.1205730195962931E-03	8.7291279017106811E-05
9.9551944661065663E-05	1.2509000000000000E+02	1.3598849113994208E+02	3.5907898149875876E+02	3.6840258433409156E+02	4.4896530583452682E+02	7.1817427696109490E+00	1.1333531988800285E+01	4.3345053722311306E+01	-9.8455627335058038E-01	1.7396137892899202E-03	3.7706257850436608E-03
3.8145746957641608E-05	1.2509000000000000E+02	1.4998327964135132E+02	4.6395477476248271E+02	4.7361525251698458E+02	8.3779709063833434E+02	6.3479287424347959E+00	1.1980413085166557E+01	7.7397334540447844E+01	-5.1562270972133062E-01	3.9907308653226265E-03	1.4583659505670150E-03
4.1216061562645355E-05	1.2509000000000000E+02	1.5634349231122690E+02	7.3721902560778847E+02	7.4400073424633626E+02	8.0430321300137007E+02	8.5707292283283198E+00	8.7251735149999963E+00	1.0016354957929046E+02	-9.4771672793848949E-01	1.9116451901414165E-03	4.1250147143299882E-03
6.5647545934401842E-05	1.2509000000000000E+02	1.2691126176162682E+02	2.3587268348125400E+02	2.4527296950820505E+02	1.1210638755797706E+03	1.0891331297155158E+01	9.2251091273152763E+00	3.6675777790916982E+01	-4.7793898889412367E-01	4.1483785790544150E-03	1.0719651501803283E-03
8.7506605357426959E-05	1.2509000000000000E+02	1.7485072998240625E+02	3.1020625487910877E+02	3.1109278382318689E+02	7.6115428647545832E+02	1.3811848359560526E+00	7.2694480493522464E+00	1.8279775588437811E+01	-1.7625589590475332E-02	5.2032242483825049E-03	1.5371914898632016E-04
6.0802918675521003E-05	1.2509000000000000E+02	1.5170545932135335E+02	4.9385251628414380E+02	5.0072305926155445E+02	6.1747766261337222E+02	1.6295459840118633E+00	9.6016571029562758E+00	8.4309586384943486E+01	-6.0865795493033503E-01	3.5723108932576341E-03	1.9836993765443922E-03
