Omega	Omega_err	mH1	mH2
0.000226694	7.2572e-08	169.464	481.947
8.2897e-05	2.17822e-08	512.944	679.346
0.00044176	1.38156e-07	608.111	924.046
0.000248587	8.137e-08	425.659	708.694
0.00147078	3.22956e-07	480.841	480.947
0.000713354	2.47068e-07	201.229	278.207
0.000119165	2.90928e-08	577.926	691.489
0.000422943	1.31798e-07	592.081	859.911
0.00138081	2.35452e-07	779.638	814.51
0.000519752	9.84632e-08	730.207	739.412
0.000314175	4.0675e-08	863.157	980.89
3.45772e-06	6.37252e-10	142.869	611.466
0.000710455	2.53594e-07	407.604	540.078
0.000695996	6.66769e-08	576.907	650.472
0.000251435	4.68489e-08	580.583	736.581
3.25558e-05	7.37598e-09	189.654	843.949
0.00127712	2.85115e-07	518.756	522.555
0.000522208	1.12429e-07	603.679	609.653
0.000212135	1.78805e-08	572.264	661.445
0.00110351	1.41799e-07	413.54	486.734
0.0320672	1.09265e-05	866.84	885.107
5.49432e-05	1.32653e-08	595.803	906.126
0.000814018	9.72118e-08	257.163	285.027
0.0015213	4.51575e-07	395.08	501.576
0.00247216	5.26884e-07	668.188	676.014
0.000166845	7.18013e-08	552.213	588.293
0.0015456	2.33479e-07	606.9	623.179
0.00101736	1.9203e-07	784.766	909.234
0.000187427	3.02138e-08	649.655	769.922
0.000553326	1.8058e-07	655.189	863.128
0.0333514	3.96291e-06	451.212	886.576
0.000281681	5.75382e-08	676.267	735.228
0.00158204	3.88002e-07	505.155	505.236
0.000284992	8.91087e-08	495.507	623.574
2.18495e-05	4.34733e-09	246.66	652.098
0.000784478	2.33122e-07	525.737	672.703
4.64624e-05	1.07552e-08	656.135	846.544
0.000758194	1.28917e-07	658.504	680.168
6.18939e-06	1.20551e-09	145.811	640.85
0.000236513	3.5422e-08	762.783	875.211
0.000696241	1.26127e-07	300.131	321.829
