Omega	Omega_err	MA1	svev	alpha
27.62	0.307989	605.795	898.642	-0.263784
0.000582591	1.86219e-06	804.313	123.302	-1.45002
0.00522863	2.07677e-05	775.62	931.32	0.546474
0.00239226	1.40938e-05	98.7234	374.859	-1.08793
0.000294884	9.33306e-06	407.28	906.981	0.0413991
0.000358794	1.03645e-06	448.592	949.393	-0.82793
151.661	2.07061	625.917	898.419	0.0235046
2.74346	0.0390552	112.228	176.387	-0.075
0.356849	0.00257451	154.952	892.269	0.586512
0.0677694	0.000346803	897.612	725.411	1.42861
0.738107	0.00577028	386.905	629.059	0.779226
0.0010611	6.47056e-06	305.089	901.835	-0.224698
0.00119389	4.03755e-06	693.836	941.712	0.566775
0.0017713	6.41927e-06	623.687	916.955	-1.07363
0.00142547	4.94249e-06	817.487	666.069	-0.699515
0.0268289	0.000124711	873.861	753.711	1.32546
0.623966	0.00441124	644.191	608.989	-1.47022
0.0397493	0.000189403	941.11	986.768	0.320452
0.0306478	0.000163782	606.526	350.688	-0.425808
0.0358241	0.00025319	104.36	793.145	1.26227
0.00439076	1.81899e-05	613.029	582.622	0.866366
0.000180379	4.06039e-07	332.839	934.092	-0.744499
0.0225087	0.000114278	446.953	540.816	-1.04606
3.08647e-05	7.75022e-08	895.502	89.845	-0.450942
0.074738	0.00210081	78.1398	389.087	0.313087
0.0459805	0.000222017	941.605	202.46	-1.5036
0.230686	0.00143318	773.127	386.464	0.34254
7.0998	0.0617679	872.041	511.317	1.14315
0.0357708	0.000192384	582.897	640.007	0.122419
0.00186994	5.31766e-06	206.091	802.184	1.27666
0.000549617	1.96778e-06	622.546	74.3284	0.359693
0.353478	0.00222063	823.881	970.983	0.237531
0.00415353	1.70438e-05	711.194	176.092	1.22878
0.205492	0.00119895	885.766	912.61	0.707902
2.28589e-05	5.13498e-08	479.443	335.032	0.729174
0.392768	0.0024988	894.404	596.382	-0.343884
0.0902741	0.000516027	778.368	929.576	0.0952984
0.180522	0.0015624	116.45	437.271	1.51655
0.00318414	1.28486e-05	655.201	597.629	0.65972
0.00744958	3.14218e-05	884.85	286.318	0.101514
0.0258578	0.000124495	804.02	424.024	0.50979
0.000362447	1.15344e-06	620.908	388.216	0.83701
2.91092	0.0251365	560.448	499.033	-1.2205
0.625152	0.00429322	347.121	502.538	0.0169343
1.35024e-06	3.36608e-09	196.733	36.6891	-1.13276
0.000102166	2.76882e-07	934.288	123.043	-0.826649
0.0708406	0.000409094	308.815	946.918	0.486907
