Omega	MA1	MH	MS1	alpha	svev	WH	WS1
0.000358047	507.569	125.09	813.721	0.236205	549.173	0.00572247	19.1564
0.0477752	199.156	97.1122	125.09	-1.51929	205.05	1.23929e-05	0.00603796
2.85055e-05	307.938	125.09	589.147	-0.142847	293.486	0.00593131	3.06211
0.0105089	274.223	125.09	433.364	-0.0912527	601.601	0.00600373	0.443973
0.0818526	655.696	125.09	533.971	-0.166285	946.834	0.00588815	2.92117
0.0181808	637.546	125.09	457.564	0.0824228	374.6	0.00601297	0.417573
0.000142019	480.245	125.09	928.409	-0.0866088	786.211	0.00600871	4.18751
0.00016668	632.104	125.09	908.972	-0.216939	277.167	0.00577353	25.9123
0.00742456	550.226	125.09	695.141	0.129503	609.737	0.00595304	3.81519
0.00624619	927.749	125.09	723.626	-0.216989	461.369	0.0057734	12.7596
0.00574869	542.632	125.09	651.583	0.137636	486.374	0.00594004	3.51698
0.0142177	729.085	125.09	909.55	0.103982	858.153	0.00598878	5.514
0.117581	162.61	125.09	547.183	-0.0621672	866.631	0.00603064	2.18245
0.038569	924.339	125.09	984.857	0.0253534	317.384	0.00605011	0.41935
0.000277853	649.701	125.09	887.795	0.252743	356.089	0.00567545	27.3696
0.0439703	198.05	125.09	796.315	0.100066	901.31	0.00599359	8.77299
0.0423061	453.992	125.09	286.869	0.136571	380.564	0.00594179	0.184528
0.0139678	796.32	125.09	919.101	0.0407415	323.61	0.00604396	0.878755
0.0341413	956.752	125.09	471.673	0.145754	445.568	0.0059263	1.41263
0.0132144	659.034	125.09	551.181	0.0275542	326.725	0.00604941	0.0877746
0.000678444	478.635	125.09	807.068	-0.118786	497.521	0.00596898	5.27523
0.000482797	370.357	125.09	927.425	0.316742	991.523	0.00546668	53.8974
0.000900529	542.371	125.09	693.771	-0.256222	399.738	0.00566518	15.7723
0.00394359	863.248	125.09	916.273	0.304565	902.793	0.00550959	44.3454
0.00402995	354.999	125.09	500.056	0.12843	426.117	0.0059547	1.34237
0.0199941	154.351	125.09	958.086	0.16939	624.378	0.00588195	37.1566
0.0185924	877.381	125.09	521.38	0.155086	429.716	0.00590956	2.21251
0.000230128	315.826	125.09	835.186	0.27869	429.433	0.00559585	46.7208
0.00952869	180.298	125.09	592.439	-0.212646	898.313	0.00578436	8.49185
0.00258786	562.482	125.09	999.606	-0.055875	806.289	0.00603512	2.16163
0.00359807	603.949	125.09	691.261	0.183542	487.728	0.00585234	7.30273
0.000576494	536.383	125.09	918.689	-0.0879966	428.427	0.00600725	4.23949
0.000281	602.026	125.09	952.435	0.27378	611.681	0.00561145	40.2034
0.0578961	633.173	125.09	622.085	0.0964802	721.807	0.00599783	1.54106
8.73203e-05	321.074	125.09	615.406	0.131908	499.414	0.00594928	2.72774
0.0812377	762.965	125.09	327.927	-0.113704	425.951	0.00597607	0.241039
0.0024773	456.141	125.09	666.711	0.163876	613.248	0.00589287	5.31783
0.00662163	422.056	125.09	452.434	-0.169307	350.55	0.00588212	1.82623
0.00334076	535.28	125.09	687.533	-0.258401	760.813	0.00565869	15.0521
1.32598e-05	276.972	125.09	545.848	-0.168292	519.173	0.00588415	3.26522
0.00598596	511.599	125.09	859.49	0.0587577	785.823	0.00603313	1.50842
0.0324631	503.388	125.09	504.553	-0.0165845	160.34	0.00605234	0.0245877
6.91381e-05	526.678	125.09	996.478	0.249967	984.586	0.00568354	39.4096
0.00397643	893.84	125.09	968.401	-0.224258	730.141	0.00575461	31.3843
0.040142	575.368	125.09	637.462	0.0546262	447.341	0.00603596	0.535295
0.0238413	968.376	125.09	658.595	0.20951	670.643	0.00579213	8.22812
0.0555972	165.781	125.09	584.764	0.10547	947.062	0.00598691	3.33324
0.0361614	677.337	125.09	633.366	-0.0353471	360.751	0.00604644	0.22612
2.51226e-05	444.843	125.09	812.092	0.184628	234.698	0.00584997	11.3881
0.00490085	978.832	125.09	679.108	0.0710942	321.028	0.00602346	1.08142
0.022161	251.76	125.09	398.097	0.104598	903.754	0.00598801	0.408706
0.0528822	828.576	125.09	840.895	0.0169796	241.725	0.00605226	0.1185
0.00141577	318.527	125.09	911.57	0.140425	502.267	0.00593541	30.8141
0.000556351	325.522	125.09	852.836	0.291445	758.855	0.00555417	39.2804
0.00537052	645.472	125.09	781.975	-0.0883239	376.266	0.0060069	2.67079
0.02018	140.68	125.09	677.814	-0.144166	538.397	0.00592905	14.1502
0.0110343	67.0668	125.09	221.625	0.203368	96.6712	0.00580705	8.94448
0.0590886	889.832	125.09	872.521	0.08933	941.083	0.00600582	3.62187
0.00563664	974.1	125.09	297.553	-0.0929649	170.518	0.00600183	0.117036
0.0147789	498.518	125.09	734.474	-0.0687923	727.803	0.0060254	1.32729
0.10311	396.974	103.988	125.09	1.54378	199.93	3.65995e-06	0.00604959
0.00225174	321.43	125.09	870.121	-0.0737306	399.531	0.00602115	30.0518
0.0416313	933.442	125.09	130.243	0.229171	130.594	0.00574158	0.000325489
0.00151995	960.561	125.09	743.904	-0.186717	267.263	0.00584538	10.6583
0.00223	926.273	125.09	936.307	0.249532	548.724	0.0056848	32.0357
0.108842	939.708	125.09	984.818	-0.0313857	587.138	0.00604804	0.652778
0.00302898	358.049	125.09	594.662	-0.0500254	312.299	0.00603887	0.376598
0.0118141	449.702	125.09	796.469	0.0193842	475.504	0.00605173	0.132128
0.025816	196.303	125.09	522.382	-0.0461099	552.105	0.00604114	3.27372
0.00121655	227.452	125.09	835.665	0.158575	263.313	0.00590304	77.8549
0.069057	118.777	125.09	838.321	0.217648	946.465	0.00577172	24.2357
0.0556321	978.23	125.09	846.234	-0.0914525	819.496	0.00600351	3.55579
0.0100541	675.425	125.09	653.033	-0.112696	372.042	0.00597744	2.5594
0.120474	413.68	125.09	617.697	0.0343789	949.426	0.00604685	0.195077
0.00326193	246.032	125.09	904.193	0.201598	610.605	0.00581128	35.3205
0.0296206	692.062	125.09	801.458	0.0199528	228.256	0.0060516	0.141792
0.0296728	134.849	125.09	866.173	0.148335	571.885	0.00592177	27.8576
0.0225223	967.803	125.09	868.731	0.1688	932.896	0.00588314	12.4376
0.000535612	582.927	125.09	858.208	0.203415	465.408	0.00580694	16.7757
0.0115606	87.3899	125.09	589.366	0.257246	289.897	0.00566214	29.8478
