Omega	Omega_err	MA1	svev	alpha
0.00103267	1.7745e-06	542.823	447.887	0.0893816
0.0668645	7.26596e-05	511.882	987.178	0.162266
0.0742084	7.82945e-05	569.265	657.928	0.163001
0.00135748	2.24599e-06	748.636	528.967	-0.21529
0.000802129	1.38951e-06	566.689	749.039	-0.283973
0.0309633	3.28729e-05	206.054	902.641	-0.123093
0.002374	3.46767e-06	421.085	310.904	0.171715
0.0721837	7.26325e-05	245.603	887.905	0.0581389
0.0762048	8.17607e-05	361.009	537.057	0.150813
0.0633832	6.93015e-05	563.409	786.448	0.100638
0.0926234	9.78248e-05	452.905	915.635	-0.169905
0.00108345	1.36211e-06	334.896	949.45	-0.277287
0.00319818	4.56346e-06	358.713	309.038	0.113013
0.0235816	2.91746e-05	786.151	918.349	0.110099
0.0103241	1.21396e-05	175.683	172.714	-0.312112
2.98257e-06	1.14359e-08	462.903	450.006	0.228006
0.00489418	7.1212e-06	892.798	729.207	0.180514
3.08135e-05	3.91676e-08	445.025	455.337	-0.223335
0.0180233	2.27586e-05	998.303	138.556	-0.166838
0.0365592	3.77272e-05	220.632	529.802	0.0513119
0.00493752	7.19242e-06	722.425	900.759	-0.16507
0.0147875	1.2262e-05	80.0248	270.756	-0.294133
0.0171051	8.4949e-06	393.916	917.25	0.0270834
0.0776561	8.62018e-05	335.562	712.271	-0.172397
0.0758856	7.53293e-05	153.505	681.615	-0.0814314
0.0951884	9.05519e-05	131.704	473.644	-0.0665262
0.0015362	2.49696e-06	762.988	397.866	0.170677
0.0368941	1.56567e-05	78.0431	222.955	-0.288097
0.0454568	5.63241e-05	157.67	729.724	0.13676
0.0243722	2.52827e-05	133.153	610.381	0.173969
0.0019332	3.10173e-06	683.629	714.846	-0.180434
0.00425937	6.23782e-06	650.607	902.408	-0.186918
0.00286717	4.27719e-06	568.371	341.441	0.109893
0.0146067	1.75842e-05	322.595	297.72	0.172983
0.00594353	8.83698e-06	578.079	760.893	0.0570281
0.0100556	9.93345e-06	81.3759	274.762	-0.324198
0.00251191	3.83562e-06	419.484	958.218	0.205142
0.0375789	4.29454e-05	748.926	297.352	0.240722
0.0420735	4.82164e-05	462.799	683.322	0.117758
0.000443504	5.05904e-07	357.326	865.757	-0.226731
0.0723864	7.62149e-05	591.037	404.321	0.119442
0.000349328	6.50399e-07	688.57	250.287	0.28389
0.000433948	7.72137e-07	176.062	540.213	-0.261913
0.00354016	5.27755e-06	629.076	940.43	0.190729
0.0478001	5.2993e-05	433.156	180.649	-1.42903
0.028777	3.06507e-05	195.138	872.676	-0.131731
0.0116026	1.56588e-05	689.25	991.107	-0.0884226
0.000859035	1.48189e-06	814.405	425.274	0.301329
0.000570803	7.0043e-07	308.302	487.787	-0.164353
0.00143804	2.19079e-06	523.28	39.7337	1.49871
0.0136145	1.68609e-05	735.986	364.418	0.0854336
0.0592751	6.63063e-05	551.355	773.862	0.0603091
0.00701502	9.79789e-06	961.689	913.001	-0.30348
0.0654915	6.98576e-05	565.971	456.138	0.232665
0.0139238	1.74079e-05	684.53	250.664	-0.0483811
0.042026	4.85645e-05	701.299	727.262	0.0654698
0.0104771	1.3608e-05	778.558	94.4336	1.37029
0.00277223	3.76908e-06	586.845	209.145	0.0393517
9.97479e-05	2.11539e-07	606.344	311.723	0.290018
0.000330527	6.42493e-07	632.379	681.454	-0.30181
0.0778831	7.50096e-05	112.976	710.829	0.16043
0.00449115	5.68729e-06	382.71	206.749	-0.15457
0.0109151	4.20489e-06	234.878	755.655	0.0453035
0.000522517	3.22864e-07	265.168	513.285	0.112726
3.95874e-05	3.49877e-08	376.062	587.259	-0.209116
0.0132281	1.8036e-05	401.264	937.355	-0.0777808
0.0304591	3.66026e-05	741.637	930.04	-0.0921694
0.00346836	5.06528e-06	619.454	223.213	-0.0763482
0.00254201	2.96405e-06	272.05	722.588	0.165153
7.61413e-07	3.96032e-09	191.517	596.163	0.186346
0.0167567	1.80235e-05	300.932	649.975	0.0593542
0.0165363	1.80647e-05	145.84	506.144	0.162638
0.00811542	8.59309e-06	84.3687	181.66	-0.202738
0.00249858	3.86982e-06	694.857	282.437	-0.0626628
0.000147015	8.48628e-08	393.191	879.501	-0.124066
0.00162617	2.61139e-06	759.533	392.348	-0.223846
0.000146539	9.33266e-08	463.1	762.467	-0.0377793
0.0168393	2.12558e-05	217.179	680.274	0.267377
0.0536879	5.92017e-05	404.887	252.7	-0.283967
0.0298559	3.51097e-05	819.317	332.983	-0.23872
0.0384453	4.2365e-05	365.436	397.553	-0.130795
0.00134129	1.68391e-06	223.558	271.238	0.152153
0.00478153	1.95956e-06	334.352	695.941	-0.0344697
0.00337512	4.85067e-06	666.755	155.744	0.0797783
0.0184636	2.31784e-05	849.023	929.847	-0.271181
0.0329483	4.1023e-05	430.694	585.4	0.032009
0.00521089	7.49968e-06	791.237	934.099	-0.221
0.00061081	1.07033e-06	832.112	110.189	-0.247426
0.000354012	6.49604e-07	760.007	130.407	-0.220473
0.0242377	2.94397e-05	943.956	494.997	0.142166
0.00668382	4.68113e-06	149.529	635.065	0.122754
0.0189599	2.37338e-05	735.734	986.344	0.150913
3.20772e-06	9.759e-09	374.713	818.558	0.227773
0.00257389	3.99478e-06	962.492	707.216	0.283585
0.0643325	7.47841e-05	272.275	831.504	0.188214
0.00256725	3.53642e-06	623.317	219.888	-0.122273
0.000132311	2.33648e-07	398.301	235.181	0.155267
0.0553132	6.10068e-05	409.563	522.551	-0.294938
0.0262676	2.97852e-05	816.654	448.334	-0.0109258
0.0415052	4.65361e-05	650.598	633.042	0.186721
0.00581103	8.17503e-06	964.948	484.809	-0.25067
0.020206	2.49224e-05	986.227	523.624	-0.106484
0.00342805	4.97178e-06	891.396	316.288	0.159111
0.00581514	8.07096e-06	866.918	338.241	0.203973
0.000922055	6.99856e-07	226.577	631.43	0.159854
0.000260953	3.37572e-07	276.771	417.728	-0.253189
0.0160095	2.034e-05	683.738	992.749	0.156546
0.0297711	3.41301e-05	578.199	361.578	0.184971
0.0880196	9.32678e-05	792.567	519.165	-0.174398
0.0108762	1.45948e-05	268.754	583.387	-0.120315
0.0162424	1.99178e-05	629.257	178.422	0.124306
0.000442773	8.63998e-07	406.368	955.593	-0.173288
0.00966605	1.26716e-05	693.855	561.293	-0.18734
0.000575893	7.2734e-07	259.165	377.568	-0.183022
0.0371803	2.75365e-05	165.025	138.725	0.0937909
0.00300001	4.54978e-06	761.655	662.057	-0.242571
0.000171697	3.01899e-07	266.963	191.154	-0.147167
0.0101729	7.16689e-06	112.914	901.386	0.275045
0.000181318	1.1528e-07	293.211	991.825	0.23998
0.00370104	5.42848e-06	997.132	147.883	0.196646
0.001356	1.68011e-06	290.687	568.185	0.181805
0.0561289	6.19619e-05	580.761	827.541	-0.120027
0.0156046	1.98178e-05	863.823	673.924	0.240934
