Omega	Omega_uncer	mH1	mH2	mHc
0.000626779	0.000228996	706.289	728.17	757.63
0.000115808	3.24566e-05	524.606	546.615	686.525
0.000249643	5.44841e-05	688.567	862.956	862.282
0.000659975	0.000172674	572.773	609.486	634.922
0.0143498	0.000744696	797.662	798.623	835.392
0.000276007	3.11636e-05	463.229	534.633	563.964
0.0095028	0.000681711	940.098	945.66	981.092
0.00050962	0.000120819	617.546	646.228	716.355
0.000461412	0.000204091	791.422	824.985	829.799
0.000237699	4.99586e-05	548.135	558.101	632.354
0.00126479	0.000217533	756.088	757.322	799.846
0.000274701	9.18723e-05	761.922	835.387	833.845
0.00182362	0.000246031	847.885	849.869	910.641
0.000951611	8.42992e-05	379.662	549.454	599.127
4.60698e-05	5.94437e-05	641.253	855.433	798.792
0.000929879	0.000146427	725.992	927.196	934.639
0.0001638	1.67308e-05	491.773	619.232	691.319
0.00020563	4.57382e-05	569.831	623.967	632.279
0.000142404	2.27744e-05	460.426	563.812	657.809
0.000499642	8.21992e-05	679.166	890.488	806.428
0.000839122	0.000214093	859.338	947.536	911.775
0.0452621	0.00142733	224.503	255.454	268.142
0.000120674	1.48148e-05	428.206	746.863	635.072
0.000894967	0.000172963	608.128	808.852	782.296
0.000589461	5.1483e-05	259.233	314.935	320.017
0.000203914	2.32972e-05	446.425	663.333	624.116
0.000477569	0.000121456	602.774	618.538	668.004
0.000327928	1.88797e-05	203.402	379.492	369.581
0.000398567	6.28952e-05	755.658	999.378	982.377
0.000145462	8.66028e-06	246.917	294.354	410.081
0.000522729	0.000106746	658.076	661.046	732.366
0.000839891	0.000145966	768.557	989.829	895.914
0.000306056	4.06942e-05	407.452	550.046	460.944
0.00596916	0.000168688	655.289	681.522	759.601
0.00532075	0.000458259	869.227	979.55	958.561
0.000549987	4.57071e-05	428.652	669.913	556.17
0.00409877	0.000315647	694.658	711.624	700.701
0.000243497	4.2922e-05	615.131	840.623	848.064
0.000526761	0.000112634	473.942	564.685	512.279
8.56356e-06	2.54921e-06	132.848	654.77	693.105
0.00048871	0.00012808	695.487	712.785	784.365
0.000248004	4.19543e-05	546.743	715.669	768.334
0.000281368	0.000136363	720.657	805.416	755.002
0.00209921	0.000120805	358.033	580.182	671.922
0.000476098	0.000107461	562.962	583.851	648.941
0.000190632	3.95402e-05	470.61	488.776	631.544
0.00803442	0.000489153	671.479	675.092	681.692
0.000129495	1.30849e-05	421.049	603.522	680.375
0.000869164	3.48407e-05	194.272	705.458	707.957
0.00987632	0.00038794	572.115	583.692	621.674
0.000306351	1.9573e-05	305.882	590.595	560.587
0.000463209	0.000139367	698.368	755.801	752.269
0.000394684	6.45675e-05	485.69	657.522	519.207
0.00130777	0.000135141	743.765	973.224	968.559
0.000166147	2.24391e-05	451.514	585.275	526.957
0.000152688	7.48871e-06	187.105	321.38	366.102
0.000108005	2.55898e-05	625.172	709.128	722.123
0.000489377	0.000188216	899.473	916.99	978.406
0.000813171	0.000149996	508.636	542.74	580.915
