Omega	Omega_uncer	MA1	MS1	alpha	svev
7.64356e-05	1.50799e-05	659.723	874.517	-1.03442	242.289
5.07374	0.0771848	772.738	141.089	1.48921	485.558
0.0242644	0.00232742	817.932	385.278	-0.209362	365.175
5.94651e-05	8.51834e-06	420.931	62.07	-1.16427	31.6996
0.275985	0.00930082	433.218	176.434	-1.19925	378.066
0.000160649	1.77031e-05	526.428	943.347	-1.25203	486.468
7.45236e-05	5.64174e-06	335.623	638.682	-0.926102	900.15
4.9126e-06	1.65958e-06	411.368	298.356	0.404136	35.3864
0.0214923	0.000649329	222.873	305.975	-1.32264	799.574
0.000333407	4.17268e-05	397.063	425.804	1.55548	53.9671
0.00628245	0.000329502	761.082	463.291	-0.820321	429.053
9.73146e-05	1.03623e-05	475.361	721.157	-0.935453	368.918
0.00111742	9.72561e-05	847.591	775.81	1.25167	321.182
0.0062318	0.000273458	769.157	859.943	-0.265226	999.887
0.0027064	0.000134477	548.625	639.688	-1.20505	621.167
0.154725	0.00315936	888.044	539.993	1.43115	745.318
0.000232869	3.82498e-05	795.967	128.802	-1.18362	35.5032
6.22506e-05	8.62162e-06	504.606	542.161	-0.896992	119.246
0.00503169	6.3281e-06	55.4518	789.484	-0.643372	453.909
0.00833391	0.000325933	560.641	786.152	-0.0669773	497.947
0.0214564	0.00314055	611.962	389.289	-0.1458	377.723
0.00196888	8.99431e-05	299.232	490.959	-0.240438	869.297
0.000791836	3.58603e-05	180.647	306.456	1.03972	540.349
0.00968352	0.000346255	796.449	788.935	-1.33102	786.714
0.00490135	0.000393619	867.737	336.136	0.497125	200.365
0.338745	0.00969304	828.297	343.473	-0.271076	872.846
0.0255879	0.000790077	182.957	235.73	1.165	709.213
0.0745635	0.000844966	71.8819	703.952	0.675782	350.164
0.0112406	0.00116675	143.241	84.078	0.467205	169.53
8.14948e-06	2.59648e-06	525.037	600.864	-0.375338	73.11
5.37916e-05	1.60465e-05	857.32	948.182	0.54344	212.268
0.000763805	6.85366e-05	787.117	903.983	0.711285	749.556
0.00402851	0.000161225	290.12	281.631	0.715072	385.264
3.09191e-05	6.8918e-06	575.103	815.226	-1.15744	142.187
2.60793e-06	2.29172e-07	100.956	366.728	0.726266	3.40468
0.0111382	0.000284141	120.68	603.486	-1.31655	446.84
0.00114109	8.06553e-05	637.564	771.646	-0.998602	729.917
7.87673e-05	7.41015e-06	422.509	746.727	-1.00321	563.099
0.0086243	0.000357103	744.909	592.66	-0.594009	853.796
3.3794e-06	2.92866e-06	546.643	429.781	0.286322	38.2928
0.00264428	0.000181942	661.412	464.074	1.00099	319.435
0.000446211	1.76111e-05	329.299	907.346	-0.745202	950.25
0.00438305	0.000176072	324.075	446.233	-0.417989	993.979
1.93034e-05	2.57734e-07	99.7183	209.774	-0.367375	448.432
2.79909	0.037437	931.42	165.072	0.653738	565.631
0.0117658	0.000450246	861.798	718.168	-0.335351	888.87
9.84619e-06	1.15552e-06	360.828	717.355	0.547011	704.471
0.000395862	1.29393e-05	197.136	575.61	1.24781	265.993
0.0226432	0.000435438	89.6842	649.414	1.07704	716.1
0.00703802	0.000428982	606.761	139.639	-0.457334	106.52
1.83565	0.0213724	535.871	202.331	1.32937	721.655
2.87397e-05	1.31898e-06	362.105	834.266	0.298764	306.905
0.112263	0.00323241	949.338	222.755	-0.546203	303.888
0.0941005	0.00211561	890.922	431.211	1.2606	719.673
0.00095591	3.0936e-05	198.566	806.576	-0.692024	575.807
1.16631e-06	2.64205e-07	432.186	853.455	-0.538599	177.735
0.00253144	0.000584031	552.869	299.314	-0.0981905	172.219
0.00155438	7.37209e-05	388.953	540.092	-1.01358	823.348
0.00122002	0.000101227	692.423	416.055	1.30838	101.416
0.00121646	3.84998e-05	300.321	783.286	-1.38046	512.06
0.0030378	4.93733e-06	56.0402	145.505	-0.699321	387.338
0.000304125	2.79283e-05	526.717	728.64	1.38566	179.483
0.00122289	7.75765e-05	585.215	407.933	0.611854	221.57
1.01533e-05	1.73902e-06	311.388	225.237	-1.51005	24.2945
0.0177088	0.000593941	474.551	330.126	1.09696	488.592
7.08442e-05	1.98541e-05	820.219	164.35	1.09434	27.5134
0.244795	0.0113027	530.405	298.743	0.218661	765.045
0.127505	0.00324093	132.029	65.2215	0.979918	630.558
1.72451e-05	1.62779e-06	160.727	291.181	-1.26338	90.2275
0.00111588	4.2921e-05	69.8206	283.743	0.47977	39.8844
0.00926976	0.000712346	641.676	383.713	0.366645	348.127
5.77407	0.0833886	558.95	161.71	1.40696	636.406
