Omega	mmH1	mmH2	mmH3	mmA0	mmHch	aDM	lam2	lam8	m22	vs	WH1	WH2
0.00179218	125.09	664.688	796.88	852.171	835.712	-0.22073	1.16841	2.28108	238.901	711.691	0.00496549	10.0639
0.000303864	125.09	200.21	448.177	591.439	596.515	0.103999	5.5325	0.562176	443.603	178.555	0.00515104	0.0155029
0.000142185	125.09	829.892	817.295	921.14	938.77	-0.137494	0.00840149	0.445708	684.516	648.87	0.00511105	7.63106
0.000176946	125.09	264.15	301.491	194.842	282.74	-0.131376	8.02381	-1.64785	384.629	378.47	0.00511916	0.126708
0.000813392	76.2123	125.09	473.469	379.651	391.309	1.43282	1.8349	3.81658	177.902	260.687	0.000102904	0.00489904
0.000132284	125.09	132.308	907.244	776.059	923.787	0.0456632	2.17333	3.90714	520.416	361.321	0.00519445	1.10124e-05
0.000180253	125.09	249.844	591.256	717.53	707.963	0.179748	2.25729	1.87584	530.033	135.731	0.00504525	0.128383
3.82112e-05	125.09	675.77	303.83	498.717	528.124	-0.208293	5.94701	-1.27972	404.812	428.859	0.00499132	11.0211
0.000584702	125.09	766.193	958.894	887.86	993.247	-0.285584	5.12932	1.26933	612.871	819.5	0.00480854	25.1033
0.00167055	125.09	959.477	815.933	824.7	887.701	0.204326	6.02808	7.50194	468.681	369.146	0.00499926	23.2291
0.00024464	125.09	584.808	227.857	640.312	644.285	0.125567	1.93904	-1.98622	327.502	236.449	0.00512653	4.37134
0.000131623	125.09	167.393	697.197	591.714	716.353	-0.00312845	1.73506	2.70997	452.493	214.564	0.00520481	3.23825e-06
0.000326102	125.09	467.615	598.017	742.57	738.751	0.180258	6.21414	0.00694588	603.682	1432.21	0.00504435	2.12335
0.000254371	125.09	214.825	929.556	872.248	933.202	-0.111055	2.86819	4.75879	497.25	401.578	0.00514352	0.0252139
0.000609893	125.09	454.911	649.423	646.515	700.801	0.0151403	3.96532	10.4113	523.438	144.422	0.00520371	0.0140327
0.00021936	125.09	697.156	831.971	638.707	833.405	-0.181953	4.58827	1.55097	584.159	370.284	0.00504135	8.16766
0.00013814	125.09	350.197	799.424	948.845	969.419	0.127583	2.64133	0.469585	689.323	702.77	0.00512401	0.354943
0.000734761	125.09	766.849	487.562	563.289	542.483	-0.0303843	7.86889	-2.1419	551.55	280.199	0.00520025	0.296131
0.000166262	125.09	365.658	406.906	546.614	557.799	-0.0169125	5.06118	-3.23538	475.12	166.48	0.00520343	0.00787041
0.00107632	125.09	596.244	933.934	972.839	996.812	-0.0681318	6.46688	6.24614	612.656	388.977	0.00518171	0.704877
0.00201082	125.09	515.953	559.283	648.28	562.15	-0.161179	4.21654	-1.20055	595.798	291.418	0.00507625	2.58364
8.02925e-05	125.09	823.113	399.277	470.574	402.615	-0.0450759	4.72992	-4.52891	507.57	253.67	0.00519472	10.9424
0.00192702	125.09	724.606	414.151	379.173	415.717	0.024901	6.69042	-0.691076	626.845	838.047	0.00520176	0.165482
0.00046865	80.8036	125.09	309.64	365.267	420.927	1.49778	3.82071	-0.0860584	342.309	830.89	7.19329e-05	0.00496693
0.000145316	125.09	194.513	708.544	820.561	831.031	-0.0843247	2.44449	-0.175512	685.128	796.038	0.00516943	0.00864502
0.000239282	125.09	864.785	669.219	728.461	731.355	-0.172087	1.33598	3.57239	462.59	295.871	0.00505843	13.9845
0.000533938	75.3236	125.09	843.321	794.789	850.717	-1.41018	6.07567	4.68288	596.999	301.107	0.000120406	0.0048658
0.000209833	125.09	439.548	890.336	839.895	906.864	-0.171095	3.16252	11.7811	560.623	212.991	0.0050601	1.75449
0.00144179	125.09	214.774	937.179	957.749	952.688	0.0771864	1.46863	9.20785	207.911	418.643	0.00517516	0.012192
0.0024707	125.09	242.689	464.564	515.202	475.441	0.024563	1.20696	2.86632	420.377	164.224	0.00520184	0.00214103
0.000432128	125.09	963.744	832.618	767.718	868.383	-0.295905	0.661966	1.05543	677.418	471.697	0.00478024	54.3006
0.00114593	125.09	581.058	931.386	919.548	991.452	-0.116866	4.47729	6.82486	615.887	357.299	0.00513697	1.93775
0.000168573	125.09	145.391	731.86	817.181	807.835	-0.214414	4.73947	2.66743	241.617	519.236	0.00497878	0.00026318
0.000143235	125.09	259.605	852.935	707.906	866.108	-0.0156187	3.40813	8.59814	498.269	219.252	0.00520364	0.0015649
0.000159803	125.09	468.31	874.472	819.569	931.635	0.0933666	3.91319	0.657276	552.627	849.637	0.00516145	0.585405
0.000190843	125.09	542.679	445.643	239.868	444.144	0.140496	1.56104	2.35197	230.418	147.962	0.00510693	3.10348
0.000700433	125.09	188.351	596.36	543.34	592.188	-0.109728	6.44469	2.65346	273.85	378.952	0.00514497	0.0117549
0.000140641	125.09	948.069	762.908	678.186	770.24	-0.138391	0.903811	-0.0240354	585.184	597.18	0.00510983	11.4479
0.000223022	125.09	752.634	872.826	751.477	894.505	-0.196376	4.35239	0.553361	625.676	747.217	0.00501475	11.555
0.000520441	86.1077	125.09	725.511	773.399	810.003	1.32473	7.40391	2.44274	549.847	395.958	0.000269251	0.00469722
4.20144e-05	125.09	604.591	305.991	402.105	427.308	0.073449	5.99364	-1.87447	312.055	208.842	0.00517796	0.801498
0.000116937	125.09	827.234	599.509	772.796	798.801	0.0823288	2.32392	-1.23756	682.123	473.256	0.00517108	2.61469
0.000352003	125.09	136.424	892.54	805.767	872.485	0.233838	3.69075	0.496824	635.099	846.358	0.00493675	0.000292683
7.98052e-05	125.09	761.909	757.551	899.585	920.638	0.0575737	1.25016	3.05901	396.333	427.575	0.00518832	1.01118
0.000293507	125.09	631.9	656.442	741.974	727.856	0.0260835	6.09143	-0.0573324	610.349	445.956	0.00520146	0.120173
0.000281135	125.09	152.259	880.707	799.879	903.87	-0.16097	6.40871	0.89589	418.95	958.925	0.00507658	0.000156446
0.000117405	125.09	797.451	930.029	780.164	924.423	-0.205915	0.240694	1.42233	515.626	605.487	0.0049961	15.1556
0.000767405	125.09	231.365	859.676	717.077	728.101	-0.118326	5.09128	0.202558	650.941	770.882	0.00513527	0.0401649
0.000295048	125.09	832.529	791.027	743.314	838.398	-2.53852e-05	1.43451	1.84446	609.798	347.773	0.00520485	2.59989e-07
0.0029757	125.09	721.874	826.014	855.034	835.349	-0.233642	1.86446	1.40783	686.235	477.088	0.00493719	14.6548
0.000105484	125.09	472.899	574.957	743.404	747.264	0.170064	3.50178	-1.36189	646.527	458.329	0.00506182	1.91093
0.000263879	125.09	948.857	418.422	604.117	628.466	-0.241409	3.73631	0.324637	330.955	624.321	0.00491945	34.6165
0.000425976	125.09	699.311	566.493	637.111	681.597	0.110773	3.23614	5.6703	445.665	193.286	0.00514383	2.74319
0.000219374	116.081	125.09	796.587	922.198	920.556	-1.3384	0.479735	3.94873	588.067	356.166	0.000412947	0.00472864
0.00012895	125.09	351.623	384.111	541.582	566.779	0.0958475	3.52967	-0.811749	541.598	646.084	0.00515912	0.205901
0.000492748	55.9569	125.09	927.752	829.245	915.864	-1.52979	0.796608	0.80476	494.556	1033.31	2.16599e-05	0.00502188
0.000226668	125.09	777.724	393.412	226.543	407.254	-0.206058	1.83612	-2.9877	437.62	281.315	0.00499582	22.4623
0.0013187	100.385	125.09	898.279	799.787	810.468	1.39261	1.76792	2.33873	541.012	518.304	0.00023225	0.00483663
0.000161238	125.09	990.14	668.876	575.057	689.901	-0.0199533	5.99557	-0.00186202	508.02	1223.29	0.00520287	0.267473
0.00213736	125.09	300.265	849.452	936.272	858.412	-0.17608	2.5473	6.99252	643.299	293.04	0.00505163	0.428819
0.000790904	125.09	529.146	364.082	278.11	354.953	-0.0460719	7.2344	1.27391	229.047	237.568	0.00519426	0.223112
0.000698159	125.09	394.875	790.836	606.515	613.105	0.0892261	6.46107	1.43314	595.983	145.84	0.00516521	0.266375
0.000182607	125.09	419.011	567.991	656.318	654.23	0.113054	4.14817	-0.497459	500.938	191.697	0.0051413	0.538337
8.04757e-05	65.4415	125.09	389.644	708.914	723.538	1.47658	1.45498	-0.0397703	409.893	1329.09	5.16602e-05	0.00494931
0.00131686	125.09	590.2	834.878	842.837	900.926	-0.136319	3.87045	8.88574	670.668	231.945	0.00511263	2.84712
0.000163177	125.09	630.147	676.949	580.342	700.347	-0.015768	1.3105	2.63047	486.069	157.394	0.00520361	0.0444202
0.000252767	125.09	497.292	407.905	603.667	595.556	-0.086659	6.52523	-5.22646	542.56	211.616	0.00516745	0.661285
