Omega	Omega_err	mH1	mH2
8.59553e-05	2.00789e-07	584.081	714.615
0.000224646	3.44365e-07	438.619	566.632
0.00029757	5.2752e-07	259.294	408.808
0.000715236	2.72583e-06	514.072	757.106
0.00185092	7.61004e-06	619.485	917.702
0.000424273	1.03859e-06	280.828	315.98
8.48618e-05	2.11039e-07	593.404	696.765
0.000325345	1.14095e-06	456.415	700.407
0.0580339	0.00029567	722.852	727.196
0.000919555	1.45749e-06	540.148	571.187
0.00351202	1.63458e-05	768.012	775.097
0.000101713	3.12218e-07	424.183	655.45
0.000303858	7.25286e-07	557.583	629.211
0.000296713	1.00676e-06	612.351	909.284
0.00211209	1.27302e-05	91.192	430.481
0.00106615	4.18112e-06	407.573	702.739
0.0217727	0.00011467	427.18	570.477
0.000610893	2.20743e-06	175.626	225.94
8.84323e-05	2.39689e-07	441.461	600.826
0.00124762	3.09925e-06	712.77	818.831
0.00271769	1.08699e-05	495.739	497.747
0.000446331	6.26947e-07	948.986	970.155
0.000271189	7.6396e-07	448.161	532.142
2.88602e-05	6.95282e-08	188.898	336.488
0.00113417	1.77219e-06	388.852	474.514
0.00029493	1.22789e-06	773.201	863.161
0.000316228	1.11699e-06	333.797	567.042
0.0108257	5.4558e-05	428.147	957.893
1.04114e-05	2.4465e-08	166.234	821.068
1.19779e-05	2.60643e-08	268.61	921.078
0.000415294	1.55238e-06	831.154	923.625
0.000586688	2.19e-06	443.147	938.91
0.000200141	4.06163e-07	714.177	820.526
0.000861963	3.04384e-06	730.604	888.39
0.00129095	4.13589e-06	562.913	763.141
0.00225968	6.38485e-06	548.846	555.87
0.00437659	1.92162e-05	596.864	831.048
8.47532e-05	2.51605e-07	305.21	524.488
0.000131104	2.87759e-07	726.765	820.11
0.00219468	3.52245e-06	776.335	801.782
0.00118126	9.70183e-06	700.408	794.361
0.00410872	1.69617e-05	668.174	848.813
0.000153525	4.94229e-07	462.386	664.345
7.68425e-07	1.33131e-09	200.719	889.024
0.000307671	1.07808e-06	222.737	378.285
1.34557e-06	2.42678e-09	209.614	730.012
0.000218768	1.1383e-06	638.355	685.948
0.00849494	4.12485e-05	587.773	674.448
2.00119e-06	3.98867e-09	169.846	914.505
2.3602e-05	5.51791e-08	209.267	567.12
0.00275439	9.6755e-06	673.955	674.753
0.000821251	1.84091e-06	802.915	845.84
0.000229045	7.41532e-07	460.879	613.184
0.000160778	2.33596e-07	488.606	514.344
0.00029412	9.8589e-07	387.457	682.541
0.00116127	1.48377e-06	898.814	904.106
0.00396565	1.69231e-05	729.603	878.36
0.00146092	5.56093e-06	323.426	430.929
0.0001659	1.82939e-07	404.294	490.593
0.000127762	3.89263e-07	305.138	517.366
0.00115581	2.28171e-06	603.999	613.395
0.000163048	2.55977e-07	572.134	717.971
0.00317259	5.9845e-06	821.666	829.813
0.000766169	2.91918e-06	162.454	262.477
0.000390091	1.46547e-06	725.273	778.655
0.000226611	7.96001e-07	169.464	481.947
8.28789e-05	2.40136e-07	512.944	679.346
0.00044166	1.51948e-06	608.111	924.046
0.000248529	8.65745e-07	425.659	708.694
0.00146986	3.8897e-06	480.841	480.947
0.000713084	2.68659e-06	201.229	278.207
0.000119152	3.44612e-07	577.926	691.489
0.000422842	1.4489e-06	592.081	859.911
0.00138053	2.35081e-06	779.638	814.51
0.000519579	5.93633e-07	730.207	739.412
0.00031417	4.10084e-07	863.157	980.89
3.45734e-06	7.32174e-09	142.869	611.466
0.000710255	2.68104e-06	407.604	540.078
0.000696104	5.65572e-07	576.907	650.472
0.000251313	6.19779e-07	580.583	736.581
3.25477e-05	7.90443e-08	189.654	843.949
0.00127668	3.32813e-06	518.756	522.555
0.000522039	1.33466e-06	603.679	609.653
0.000211936	1.94901e-06	572.264	661.445
0.00110343	1.59071e-06	413.54	486.734
0.031815	0.000122057	866.84	885.107
5.4914e-05	1.54693e-07	595.803	906.126
0.000813922	8.62673e-07	257.163	285.027
0.00152072	4.47942e-06	395.08	501.576
0.0024716	4.74928e-06	668.188	676.014
0.000166767	1.0588e-06	552.213	588.293
0.00154552	2.89202e-06	606.9	623.179
0.00101717	2.56675e-06	784.766	909.234
0.000187339	4.18571e-07	649.655	769.922
