Omega	mmH3
1.4127e-05	913.383
2.17159e-05	889.696
1.55718e-05	932.413
4.14696e-05	452.736
2.97797e-05	525.388
1.31216e-05	885.436
2.46074e-05	729.646
0.000435128	155.199
2.78263e-05	548.734
3.31307e-05	821.133
1.69126e-05	775.238
1.67276e-05	931.927
5.22767e-05	318.918
1.4582e-05	717.537
2.22725e-05	924.774
3.11209e-05	552.832
2.54293e-05	926.885
4.1189e-05	404.537
0.000136045	421.952
1.45726e-05	855.819
3.23299e-05	533.299
8.43064e-05	292.543
0.0134809	71.8994
7.37066e-05	398.935
2.36078e-05	903.009
6.68718e-05	276.954
2.39059e-05	785.548
4.42571e-05	436.705
9.6982e-05	224.573
1.87025e-05	889.478
3.80132e-05	517.566
2.61389e-05	511.724
0.000106471	198.049
6.97006e-05	254.544
3.18138e-05	569.865
2.35985e-05	690.243
1.14154e-05	200.181
0.000208402	286.034
3.35229e-05	515.485
1.43895e-05	824.509
1.70525e-05	737.161
0.000133429	243.289
2.95317e-05	458.686
6.12242e-05	453.719
1.56094e-05	824.198
0.000402368	126.006
4.12456e-05	455.622
4.31818e-05	411.151
9.61697e-05	246.571
1.41849e-05	760.76
1.09381e-05	941.884
1.5603e-05	828.609
3.52379e-05	435.01
1.72423e-05	796.851
4.59684e-05	397.659
8.6112e-05	357.472
1.55681e-05	702.901
8.71505e-05	254.498
0.000138504	196.122
7.90357e-05	495.519
6.93986e-05	272.678
2.33592e-05	782.973
0.0004561	120.512
2.53511e-05	552.769
5.08129e-06	169.941
6.31055e-05	322.484
2.88691e-05	866.088
9.06931e-05	641.824
5.74534e-05	652.712
2.6284e-05	515.997
0.000110602	254.293
2.95071e-05	467.263
1.67071e-05	929.09
2.12133e-05	591.645
1.25557e-05	774.522
6.91975e-05	500.783
5.55221e-05	336.757
2.41419e-05	829.914
8.63176e-05	252.521
1.82894e-05	631.175
7.62444e-05	279.915
3.37244e-05	490.713
6.00293e-05	339.21
1.43187e-05	902.417
1.95577e-05	907.419
8.40687e-05	254.003
1.23554e-05	906.541
2.65718e-05	580.442
3.85454e-05	681.016
0.000113715	411.547
