Omega	mH1	mH2	mHc
0.00229358	766.167	768.654	845.281
0.000600703	279.482	644.823	531.043
0.000115578	430.581	737.417	599.106
0.0108423	679.82	709.666	724.013
0.000103616	540.942	626.451	628.877
0.000236897	188.551	455.889	280.448
0.000181521	713.414	874.01	798.151
0.00108221	663.193	663.545	721.178
0.000927056	636.754	644.806	672.806
0.000231773	674.018	909.198	839.068
0.0003972	691.573	887.95	897.92
0.00139369	597.466	694.607	642.967
0.00219974	872.64	910.002	909.269
0.000523767	705.325	784.693	818.641
0.000354415	341.737	616.173	351.84
8.98581e-05	185.461	443.04	504.01
8.53494e-05	584.081	714.615	680.522
0.000223084	438.619	566.632	487.459
0.000295516	259.294	408.808	290.894
0.00071018	514.072	757.106	684.483
0.00183692	619.485	917.702	817.529
0.00042118	280.828	315.98	408.533
8.42665e-05	593.404	696.765	710.805
0.000323109	456.415	700.407	750.303
0.057802	722.852	727.196	736.428
0.000915526	540.148	571.187	566.66
0.00348004	768.012	775.097	846.968
0.000101	424.183	655.45	699.222
0.000301718	557.583	629.211	667.331
0.000294615	612.351	909.284	960.109
0.00209522	91.192	430.481	562.083
0.00105826	407.573	702.739	682.853
0.0216097	427.18	570.477	580.55
0.000606387	175.626	225.94	232.843
8.78336e-05	441.461	600.826	521.435
0.00123848	712.77	818.831	841.534
0.00269987	495.739	497.747	576.949
0.000444655	948.986	970.155	984.834
0.000269224	448.161	532.142	540.664
2.86632e-05	188.898	336.488	294.014
0.00112599	388.852	474.514	435.735
0.0002936	773.201	863.161	813.669
0.000313941	333.797	567.042	591.856
0.0107446	428.147	957.893	904.143
1.03442e-05	166.234	821.068	838.508
1.19028e-05	268.61	921.078	842.672
0.000412737	831.154	923.625	900.353
0.000582556	443.147	938.91	936.571
0.000198703	714.177	820.526	839.328
0.000855805	730.604	888.39	916.368
0.00128162	562.913	763.141	647.229
0.00224613	548.846	555.87	620.777
0.00434271	596.864	831.048	816.849
8.41657e-05	305.21	524.488	469.53
0.000130199	726.765	820.11	904.402
0.00218563	776.335	801.782	810.3
0.00117636	700.408	794.361	735.842
0.00407793	668.174	848.813	850.415
0.000152466	462.386	664.345	604.399
7.63469e-07	200.719	889.024	835.561
0.00030545	222.737	378.285	417.069
1.33694e-06	209.614	730.012	674.289
0.000217747	638.355	685.948	685.404
0.00843544	587.773	674.448	655.939
1.98846e-06	169.846	914.505	821.112
2.34446e-05	209.267	567.12	621.77
0.00273434	673.955	674.753	740.771
0.000818341	802.915	845.84	845.809
0.000227415	460.879	613.184	582.372
0.000159856	488.606	514.344	583.83
0.000292001	387.457	682.541	495.482
0.00115546	898.814	904.106	940.148
0.00393631	729.603	878.36	961.214
0.00145036	323.426	430.929	406.051
0.000164793	404.294	490.593	447.145
0.000126861	305.138	517.366	492.037
0.00114939	603.999	613.395	666.607
0.000161939	572.134	717.971	640.166
0.0031582	821.666	829.813	846.77
0.000760494	162.454	262.477	202.572
0.00038794	725.273	778.655	785.042
0.000225006	169.464	481.947	486.145
8.22986e-05	512.944	679.346	710.507
0.000438416	608.111	924.046	993.42
0.000246783	425.659	708.694	719.198
0.00145969	480.841	480.947	541.141
0.000707882	201.229	278.207	332.138
0.000118325	577.926	691.489	723.441
0.000419733	592.081	859.911	789.838
0.0013748	779.638	814.51	794.716
0.000517024	730.207	739.412	784.335
0.000312708	863.157	980.89	889.491
3.43392e-06	142.869	611.466	615.4
0.000705202	407.604	540.078	530.176
0.00069126	576.907	650.472	640.179
0.000249566	580.583	736.581	669.915
3.23237e-05	189.654	843.949	851.116
0.00126876	518.756	522.555	586.293
0.000518733	603.679	609.653	669.759
0.000210722	572.264	661.445	624.563
0.00109564	413.54	486.734	459.071
0.031817	866.84	885.107	868.828
5.45442e-05	595.803	906.126	844.691
0.000808247	257.163	285.027	295.341
0.0015118	395.08	501.576	417.924
0.00245915	668.188	676.014	702.641
0.000165841	552.213	588.293	614.397
0.00153565	606.9	623.179	689.716
0.00100952	784.766	909.234	960.436
0.000186052	649.655	769.922	750.589
0.000549058	655.189	863.128	909.079
0.0330778	451.212	886.576	891.181
0.000280053	676.267	735.228	731.802
0.00157198	505.155	505.236	576.513
0.000282914	495.507	623.574	671.748
2.17004e-05	246.66	652.098	616.886
0.000778349	525.737	672.703	645.833
4.61248e-05	656.135	846.544	848.626
0.000753566	658.504	680.168	668.196
6.14608e-06	145.811	640.85	466.675
0.000234772	762.783	875.211	887.419
0.00069158	300.131	321.829	393.969
0.000236548	243.438	364.067	415.237
0.0349195	668.139	962.651	988.835
0.000108871	601.731	900.431	917.905
0.00703709	664.416	698.907	686.352
0.00284753	325.87	825.186	776.939
0.000503082	336.452	411.163	395.729
0.00244339	534.141	546.153	586.296
0.000480878	507.811	816.152	756.034
0.00981049	472.366	653.292	677.059
0.00151366	731.864	732.412	803.713
0.00039679	519.696	706.47	593.128
0.000113342	589.624	759.435	736.957
0.000347316	465.652	591.451	644.737
0.000348641	653.623	729.1	765.64
0.000195635	384.778	429.876	504.298
0.00136466	743.605	813.882	812.187
0.00322721	843.56	955.673	960.478
0.000172209	427.141	603.495	589.161
0.000441711	302.047	737.152	747.699
0.000928307	400.863	415.404	511.642
0.0027945	671.18	681.403	743.451
6.47405e-05	665.755	930.678	834.315
0.00230341	705.356	711.707	761.285
0.00064476	632.341	910.541	995.141
0.00201812	748.487	991.374	950.576
0.00313183	631.101	729.209	683.497
0.00174801	872.048	943.727	955.706
0.000370666	164.249	491.149	540.952
0.00429498	581.222	592.147	602.886
0.000123347	450.4	787.632	691.308
0.000178886	383.251	568.977	510.001
0.000551944	440.531	670.636	616.215
0.000130204	364.785	470.701	470.167
0.0117226	563.138	564.772	588.796
0.00111967	457.677	673.435	616.793
0.00143012	595.902	699.815	701.076
0.00515864	688.953	798.718	781.401
0.000100533	411.203	836.019	860.671
0.00288912	526.456	578.922	530.653
0.00118844	607.192	750.562	607.754
0.000436121	747.78	929.577	933.859
0.00162578	434.935	509.908	448.198
0.000143602	327.823	564.441	482.174
4.75589e-05	710.462	830.438	810.079
0.000773153	288.098	293.722	350.478
0.000264791	492.884	627.88	606.469
0.000785176	276.219	313.724	355.565
0.00126086	375.409	592.418	664.321
