Omega	mMChi	mMPsi	lam12	lam13	lam123
0.120215	100	120	0.00987695	1.10748	1.17897
0.120152	100	120	0.00987695	0.996735	1.18163
0.120111	100	120	0.00987695	0.897061	1.18359
0.120082	100	120	0.00987695	0.807355	1.18506
0.120061	100	120	0.00987695	0.72662	1.18617
0.120046	100	120	0.00987695	0.653958	1.18703
0.120035	100	120	0.00987695	0.588562	1.18769
0.120026	100	120	0.00987695	0.529706	1.1882
0.120021	100	120	0.00987695	0.476735	1.1886
0.120015	100	120	0.00987695	0.429062	1.18891
0.120013	100	120	0.00987695	0.386155	1.18918
0.120009	100	120	0.00987695	0.34754	1.18938
0.120005	100	120	0.00987695	0.312786	1.18952
0.120005	100	120	0.00987695	0.281507	1.18964
0.120002	100	120	0.00987695	0.253357	1.18972
0.120001	100	120	0.00987695	0.228021	1.18978
0.12	100	120	0.00987695	0.205219	1.18983
0.119999	100	120	0.00987695	0.184697	1.18986
0.119001	100	120	0.00888926	3.94399	0.665872
0.120723	100	120	0.00888926	3.54959	0.845892
0.12069	100	120	0.00888926	3.19463	0.962994
0.120986	100	120	0.00888926	2.87517	1.0344
0.120556	100	120	0.00888926	2.58765	1.08623
0.12077	100	120	0.00888926	2.32888	1.11721
0.120402	100	120	0.00888926	2.096	1.13986
0.120854	100	120	0.00888926	1.8864	1.15288
0.12075	100	120	0.00888926	1.69776	1.16499
0.120559	100	120	0.00888926	1.52798	1.17439
0.120398	100	120	0.00888926	1.37518	1.18129
0.12029	100	120	0.00888926	1.23766	1.18644
0.120205	100	120	0.00888926	1.1139	1.19015
0.120145	100	120	0.00888926	1.00251	1.1928
0.120105	100	120	0.00888926	0.902257	1.19476
0.120078	100	120	0.00888926	0.812032	1.19623
0.120058	100	120	0.00888926	0.730828	1.19734
0.120044	100	120	0.00888926	0.657746	1.1982
0.120033	100	120	0.00888926	0.591971	1.19886
0.120025	100	120	0.00888926	0.532774	1.19936
0.12002	100	120	0.00888926	0.479497	1.19977
0.120014	100	120	0.00888926	0.431547	1.20008
0.120012	100	120	0.00888926	0.388392	1.20034
0.120008	100	120	0.00888926	0.349553	1.20054
0.120005	100	120	0.00888926	0.314598	1.20068
0.120003	100	120	0.00888926	0.283138	1.20078
0.120003	100	120	0.00888926	0.254824	1.20088
0.120001	100	120	0.00888926	0.229342	1.20095
0.12	100	120	0.00888926	0.206408	1.20099
0.119999	100	120	0.00888926	0.185767	1.20102
0.11903	100	120	0.00800033	3.96212	0.670543
0.120693	100	120	0.00800033	3.56591	0.852725
0.120658	100	120	0.00800033	3.20932	0.970629
0.120948	100	120	0.00800033	2.88839	1.0426
0.120458	100	120	0.00800033	2.59955	1.0952
0.120735	100	120	0.00800033	2.33959	1.12594
0.120713	100	120	0.00800033	2.10563	1.1486
0.120833	100	120	0.00800033	1.89507	1.16176
0.120728	100	120	0.00800033	1.70556	1.17395
0.120539	100	120	0.00800033	1.53501	1.18338
0.120383	100	120	0.00800033	1.38151	1.19029
0.120279	100	120	0.00800033	1.24336	1.19544
0.120197	100	120	0.00800033	1.11902	1.19915
0.120139	100	120	0.00800033	1.00712	1.2018
0.120101	100	120	0.00800033	0.906406	1.20376
0.120074	100	120	0.00800033	0.815765	1.20522
0.120056	100	120	0.00800033	0.734189	1.20633
0.120042	100	120	0.00800033	0.66077	1.20719
0.120032	100	120	0.00800033	0.594693	1.20785
0.120024	100	120	0.00800033	0.535224	1.20835
0.120019	100	120	0.00800033	0.481701	1.20876
0.120013	100	120	0.00800033	0.433531	1.20907
0.120011	100	120	0.00800033	0.390178	1.20934
0.120008	100	120	0.00800033	0.35116	1.20954
0.120005	100	120	0.00800033	0.316044	1.20967
0.120003	100	120	0.00800033	0.28444	1.20977
0.120001	100	120	0.00800033	0.255996	1.20985
0.120002	100	120	0.00800033	0.230396	1.20993
0.12	100	120	0.00800033	0.207357	1.20998
0.119999	100	120	0.00800033	0.186621	1.21001
0.119053	100	120	0.0072003	3.97664	0.674351
0.120669	100	120	0.0072003	3.57898	0.85825
0.120632	100	120	0.0072003	3.22108	0.976791
0.120917	100	120	0.0072003	2.89897	1.04922
0.120438	100	120	0.0072003	2.60908	1.10198
0.120715	100	120	0.0072003	2.34817	1.13292
0.120471	100	120	0.0072003	2.11335	1.15727
0.120746	100	120	0.0072003	1.90202	1.16941
0.120689	100	120	0.0072003	1.71182	1.18132
